,team_name,team_name_short,team_id,team_id_pfr,team_conference,team_division,team_conference_pre2002,team_division_pre2002
0,Arizona Cardinals,Cardinals,ARI,CRD,NFC,NFC West,NFC,NFC West
1,Atlanta Falcons,Falcons,ATL,ATL,NFC,NFC South,NFC,NFC West
2,Baltimore Ravens,Ravens,BAL,RAV,AFC,AFC North,AFC,AFC Central
3,Buffalo Bills,Bills,BUF,BUF,AFC,AFC East,AFC,AFC East
4,Carolina Panthers,Panthers,CAR,CAR,NFC,NFC South,NFC,NFC West
5,Chicago Bears,Bears,CHI,CHI,NFC,NFC North,NFC,NFC Central
6,Cincinnati Bengals,Bengals,CIN,CIN,AFC,AFC North,AFC,AFC Central
7,Cleveland Browns,Browns,CLE,CLE,AFC,AFC North,AFC,AFC Central
8,Dallas Cowboys,Cowboys,DAL,DAL,NFC,NFC East,NFC,NFC East
9,Denver Broncos,Broncos,DEN,DEN,AFC,AFC West,AFC,AFC West
10,Detroit Lions,Lions,DET,DET,NFC,NFC North,NFC,NFC Central
11,Green Bay Packers,Packers,GB,GNB,NFC,NFC North,NFC,NFC Central
12,Houston Texans,Texans,HOU,HTX,AFC,AFC South,AFC,
13,Indianapolis Colts,Colts,IND,CLT,AFC,AFC South,AFC,AFC East
14,Jacksonville Jaguars,Jaguars,JAX,JAX,AFC,AFC South,AFC,AFC Central
15,Kansas City Chiefs,Chiefs,KC,KAN,AFC,AFC West,AFC,AFC West
16,Los Angeles Chargers,Chargers,LAC,SDG,AFC,AFC West,AFC,AFC West
17,Los Angeles Rams,Rams,LAR,RAM,NFC,NFC West,NFC,NFC West
18,Miami Dolphins,Dolphins,MIA,MIA,AFC,AFC East,AFC,AFC East
19,Minnesota Vikings,Vikings,MIN,MIN,NFC,NFC North,NFC,NFC Central
20,New England Patriots,Patriots,NE,NWE,AFC,AFC East,AFC,AFC East
21,New Orleans Saints,Saints,NO,NOR,NFC,NFC South,NFC,NFC West
22,New York Giants,Giants,NYG,NYG,NFC,NFC East,NFC,NFC East
23,New York Jets,Jets,NYJ,NYJ,NFC,AFC East,NFC,AFC East
24,Oakland Raiders,Raiders,LVR,RAI,AFC,AFC West,AFC,AFC West
25,Philadelphia Eagles,Eagles,PHI,PHI,NFC,NFC East,NFC,NFC East
26,Pittsburgh Steelers,Steelers,PIT,PIT,AFC,AFC North,AFC,AFC Central
27,San Diego Chargers,Chargers,LAC,SDG,AFC,AFC West,AFC,AFC West
28,San Francisco 49ers,49ers,SF,SFO,NFC,NFC West,NFC,NFC West
29,Seattle Seahawks,Seahawks,SEA,SEA,NFC,NFC West,AFC,AFC West
30,St. Louis Rams,Rams,LAR,RAM,NFC,,NFC,NFC West
31,Tampa Bay Buccaneers,Buccaneers,TB,TAM,NFC,NFC South,NFC,NFC Central
32,Tennessee Titans,Titans,TEN,OTI,AFC,AFC South,AFC,AFC Central
33,Washington Redskins,Washington,WAS,WAS,NFC,NFC East,NFC,NFC East
